TANGGAL,RR,RH_AVG,TAVG,SS,FF_AVG
2023-02-16,4.0,88.0,24.9,0.32,5.0
2023-02-17,4.3,93.0,24.7,2.08,3.0
2023-02-18,33.0,90.0,25.0,6.24,3.0
2023-02-19,13.7,88.0,25.4,3.44,3.0
2023-02-20,0.0,81.0,25.9,6.0,3.0
2023-02-21,1.3,86.0,25.8,4.48,3.0
2023-02-22,0.5,94.0,24.5,0.0,3.0
2023-02-23,13.2,92.0,25.0,1.04,2.0
2023-02-24,16.2,92.0,25.4,0.0,3.0
2023-02-25,12.8,92.0,25.3,0.64,2.0
2023-02-26,9.1,93.0,24.6,0.0,3.0
2023-02-27,40.7,90.0,25.2,0.88,3.0
2023-02-28,11.1,89.0,25.1,3.44,2.0
2023-03-01,7.0,90.0,24.9,0.8,4.0
2023-03-02,15.8,95.0,23.9,0.0,4.0
2023-03-03,20.5,81.0,26.0,6.08,2.0
2023-03-04,1.4,88.0,24.3,1.6,4.0
2023-03-05,13.8,87.0,25.2,5.04,4.0
2023-03-06,0.3,82.0,26.1,6.88,4.0
2023-03-07,0.0,85.0,25.4,6.72,3.0
2023-03-08,8.125,88.0,24.7,3.44,3.0
2023-03-09,16.25,82.0,26.7,4.48,3.0
2023-03-10,24.375,88.0,25.0,6.0,3.0
2023-03-11,32.5,89.0,25.2,3.84,3.0
2023-03-12,14.2,87.0,26.0,5.04,2.0
2023-03-13,0.0,87.0,25.1,7.2,3.0
2023-03-14,35.7,89.0,25.7,2.08,4.0
2023-03-15,1.2,90.0,25.0,0.4,4.0
2023-03-16,0.6,84.0,25.6,7.04,3.0
2023-03-17,0.0,83.0,26.0,5.52,3.0
2023-03-18,6.0,80.0,26.6,7.2,3.0
2023-03-19,24.0,88.0,26.1,6.0,5.0
2023-03-20,2.5,88.0,25.9,4.72,3.0
2023-03-21,28.7,82.0,26.1,6.4,4.0
2023-03-22,2.7,82.0,27.4,5.68,5.0
2023-03-23,0.2,83.0,28.2,4.24,3.0
2023-03-24,2.1,90.0,26.1,6.24,3.0
2023-03-25,68.8,90.0,25.4,4.08,3.0
2023-03-26,9.3,90.0,25.9,4.8,2.0
2023-03-27,5.7,90.0,25.2,3.44,3.0
2023-03-28,30.0,88.0,26.2,3.68,2.0
2023-03-29,0.0,86.0,26.1,4.32,3.0
2023-03-30,0.3,82.0,26.1,7.12,3.0
2023-03-31,3.7,83.0,26.9,4.24,5.0
2023-04-01,0.0,83.0,26.1,0.4,3.0
2023-04-02,1.7,84.0,26.1,5.68,3.0
2023-04-03,0.85,77.0,27.9,7.92,2.0
2023-04-04,0.0,81.0,26.4,5.6,3.0
2023-04-05,0.0,71.0,27.5,8.0,3.0
2023-04-06,0.0,74.0,26.9,5.44,3.0
2023-04-07,0.0,78.0,26.4,8.0,3.0
2023-04-08,0.0,79.0,27.1,6.24,4.0
2023-04-09,0.0,79.0,27.4,7.44,3.0
2023-04-10,0.0,86.0,26.4,2.32,4.0
2023-04-11,0.0,85.0,25.9,4.0,3.0
2023-04-12,2.5,85.0,26.4,5.12,3.0
2023-04-13,9.3,82.0,26.4,2.48,3.0
2023-04-14,0.0,83.0,26.5,4.72,3.0
2023-04-15,0.5,79.0,27.6,7.28,4.0
2023-04-16,1.0,83.0,26.9,4.72,3.0
2023-04-17,0.5,81.0,27.6,7.6,3.0
2023-04-18,0.0,83.0,27.3,3.28,3.0
2023-04-19,42.5,88.0,26.5,6.48,3.0
2023-04-20,42.3,89.0,26.9,5.68,3.0
2023-04-21,17.0,86.0,26.5,5.84,3.0
2023-04-22,40.5,84.0,27.1,7.44,3.0
2023-04-23,76.0,89.0,26.3,6.4,5.0
2023-04-24,69.0,87.0,26.1,6.8,4.0
2023-04-25,7.5,89.0,25.6,4.64,4.0
2023-04-26,1.0,86.0,26.6,6.64,3.0
2023-04-27,0.0,86.0,26.5,6.08,3.0
2023-04-28,2.0,86.0,27.4,4.48,3.0
2023-04-29,0.0,84.0,27.5,5.04,3.0
2023-04-30,0.0,84.0,27.4,6.24,3.0
2023-05-01,0.0,84.0,27.4,4.32,3.0
2023-05-02,0.0,85.0,27.1,7.2,3.0
2023-05-03,11.6,90.0,26.3,4.88,4.0
